Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
87 	 3.898000 	 4.036506 	 2.550000 	 0.099000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
88 	 3.964000 	 4.035682 	 2.588000 	 0.103000 	 0.173000 	 0.810000 	 0.012000 	 0.022000 	 0.238000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
89 	 4.109000 	 4.036506 	 2.755000 	 0.098000 	 0.173000 	 0.792000 	 0.012000 	 0.021000 	 0.240000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
90 	 3.990000 	 4.035989 	 2.631000 	 0.099000 	 0.174000 	 0.794000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
91 	 4.005000 	 4.035648 	 2.659000 	 0.098000 	 0.171000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
92 	 3.970000 	 4.034935 	 2.582000 	 0.103000 	 0.175000 	 0.811000 	 0.012000 	 0.021000 	 0.247000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
93 	 3.894000 	 4.033419 	 2.550000 	 0.098000 	 0.174000 	 0.785000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
94 	 3.891000 	 4.031904 	 2.546000 	 0.098000 	 0.172000 	 0.787000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.001000 	 0.001000
95 	 4.105000 	 4.032674 	 2.540000 	 0.102000 	 0.178000 	 0.924000 	 0.012000 	 0.023000 	 0.301000 	 0.003000 	 0.011000 	 0.009000 	 0.000000
96 	 3.991000 	 4.032240 	 2.639000 	 0.098000 	 0.173000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
97 	 3.972000 	 4.031619 	 2.623000 	 0.099000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.010000 	 0.002000 	 0.001000
98 	 3.893000 	 4.030204 	 2.547000 	 0.097000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
99 	 3.886000 	 4.028747 	 2.541000 	 0.098000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
100 	 3.982000 	 4.028280 	 2.614000 	 0.099000 	 0.175000 	 0.802000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.010000 	 0.003000 	 0.000000
101 	 4.033000 	 4.028327 	 2.686000 	 0.098000 	 0.171000 	 0.787000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
102 	 3.973000 	 4.027784 	 2.622000 	 0.098000 	 0.174000 	 0.788000 	 0.012000 	 0.022000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
103 	 3.888000 	 4.026427 	 2.544000 	 0.101000 	 0.171000 	 0.786000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
104 	 4.192000 	 4.028019 	 2.750000 	 0.099000 	 0.172000 	 0.871000 	 0.020000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
105 	 3.953000 	 4.027305 	 2.605000 	 0.098000 	 0.173000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
106 	 3.894000 	 4.026047 	 2.553000 	 0.098000 	 0.170000 	 0.786000 	 0.013000 	 0.021000 	 0.236000 	 0.002000 	 0.011000 	 0.002000 	 0.000000
107 	 3.886000 	 4.024738 	 2.542000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.010000 	 0.002000 	 0.001000
108 	 3.883000 	 4.023426 	 2.539000 	 0.100000 	 0.172000 	 0.786000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
109 	 4.236000 	 4.025376 	 2.632000 	 0.098000 	 0.203000 	 1.001000 	 0.013000 	 0.022000 	 0.246000 	 0.004000 	 0.011000 	 0.002000 	 0.000000
110 	 3.928000 	 4.024491 	 2.579000 	 0.102000 	 0.172000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
111 	 3.893000 	 4.023306 	 2.549000 	 0.099000 	 0.171000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
112 	 4.235000 	 4.025196 	 2.700000 	 0.112000 	 0.244000 	 0.836000 	 0.014000 	 0.022000 	 0.280000 	 0.003000 	 0.011000 	 0.007000 	 0.001000
113 	 4.137000 	 4.026186 	 2.673000 	 0.098000 	 0.171000 	 0.882000 	 0.012000 	 0.022000 	 0.254000 	 0.003000 	 0.011000 	 0.003000 	 0.001000
114 	 4.575000 	 4.031000 	 3.231000 	 0.097000 	 0.171000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
115 	 3.928000 	 4.030104 	 2.581000 	 0.097000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
116 	 4.430000 	 4.033552 	 2.896000 	 0.101000 	 0.259000 	 0.852000 	 0.013000 	 0.021000 	 0.262000 	 0.003000 	 0.011000 	 0.006000 	 0.000000
117 	 4.016000 	 4.033402 	 2.608000 	 0.099000 	 0.173000 	 0.836000 	 0.012000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
118 	 3.979000 	 4.032941 	 2.604000 	 0.098000 	 0.173000 	 0.800000 	 0.012000 	 0.021000 	 0.250000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
119 	 4.009000 	 4.032739 	 2.656000 	 0.103000 	 0.173000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
120 	 4.162000 	 4.033817 	 2.687000 	 0.098000 	 0.229000 	 0.835000 	 0.013000 	 0.022000 	 0.248000 	 0.003000 	 0.011000 	 0.005000 	 0.001000
121 	 4.083000 	 4.034223 	 2.688000 	 0.097000 	 0.171000 	 0.833000 	 0.012000 	 0.022000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
122 	 3.949000 	 4.033525 	 2.567000 	 0.102000 	 0.172000 	 0.810000 	 0.012000 	 0.022000 	 0.247000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
123 	 3.937000 	 4.032740 	 2.590000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.010000 	 0.002000 	 0.001000
124 	 4.193000 	 4.034032 	 2.763000 	 0.106000 	 0.175000 	 0.848000 	 0.012000 	 0.022000 	 0.248000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
125 	 3.971000 	 4.033528 	 2.544000 	 0.098000 	 0.174000 	 0.787000 	 0.013000 	 0.021000 	 0.317000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
126 	 3.889000 	 4.032381 	 2.542000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
127 	 3.993000 	 4.032071 	 2.582000 	 0.098000 	 0.172000 	 0.811000 	 0.012000 	 0.021000 	 0.252000 	 0.003000 	 0.038000 	 0.002000 	 0.000000
128 	 4.213000 	 4.033484 	 2.623000 	 0.102000 	 0.171000 	 0.819000 	 0.012000 	 0.049000 	 0.412000 	 0.004000 	 0.014000 	 0.003000 	 0.000000
129 	 4.834000 	 4.039690 	 3.485000 	 0.098000 	 0.173000 	 0.788000 	 0.012000 	 0.022000 	 0.238000 	 0.003000 	 0.010000 	 0.003000 	 0.000000
